Stage-Step,Step Name,What It Does,Main Stage Script,Core Library Module(s),Main Function / Entry,Reads From,Saves To
S0-01,Load external market-cap snapshot,"Read the externally provided market-cap file (mkt_cap0224.csv, a one-date snapshot in Data/latest_data/). Standardise column names; exclude stocks whose short name contains 'B' or 'ST' (B-shares / ST-risk stocks); drop rows with missing/zero market value; convert to 亿元.",Data/mkt_cap_bins.py,pandas,main() / (inline),"Data/latest_data/mkt_cap0224.csv  (external, columns: tradeDate, ticker, secShortName, marketValue)",in-memory DataFrame (cleaned universe)
S0-02,Bin universe into 20 equal-count market-cap bins,Sort all eligible stocks by market_cap_yi (亿元) ascending. Use pd.qcut with N_BINS=20 to assign each stock a bin_id (1=smallest ... 20=largest). Compute bin range labels in 亿元. Output CSV 1: full universe with bin assignment.,Data/mkt_cap_bins.py,pandas (pd.qcut),main(),cleaned DataFrame from S0-01,"Results/MarketCapBins/market_cap_bins.csv  (cols: tradedate, ticker, name, market_cap_yi, bin_id, bin_range_yi)"
S0-03,Sample one stock per bin -> portfolio ticker list,"For each of the 20 bins, randomly sample one stock (RANDOM_SEED controls reproducibility). Output CSV 2: 20-stock portfolio, one per market-cap bin. The ticker column of this file is the recommended input for the downstream pipeline.",Data/mkt_cap_bins.py,random.Random,main(),binned DataFrame from S0-02,"Results/MarketCapBins/market_cap_portfolio.csv  (cols: bin_id, bin_range_yi, ticker, name, market_cap_yi)"
S0-04,Download daily price data via yfinance,"For each chosen ticker (taken from S0-03 or manually specified), download adjusted daily close prices from Yahoo Finance using yfinance (auto_adjust=True). Suffix: .SS for Shanghai (6xxxxx), .SZ for Shenzhen (0xxxxx/3xxxxx). Applies random sleep (6-9s) between requests to avoid rate-limiting. Saves one CSV per ticker with columns [date, close].",Data/data_yf.py,yfinance; curl_cffi,(script-level loop),tickers list hardcoded at top of data_yf.py  (edit before running)  |  date range: 2021-01-01 to 2026-03-12,"Data/latest_data/{TICKER}.csv  (cols: date, close;  one file per ticker)"
S1-01,Load price data & compute log-returns,"Load raw price CSV from DATA_DIR, slice training window, compute log-returns, define S0 and annualised realised vol.",stage1_fit.py,data.py,run_stage1(),{TICKER}.csv in Data/latest_data/,used in memory; contributes to model.json / h_series.csv / params.csv
S1-02,Initial GARCH variance seed (h0),Uses sample variance of training returns as initial variance seed for the MLE optimiser.,stage1_fit.py,garch.py,run_stage1() / fit_garch_jump(),returns from S1-01,internal only
S1-03,MLE estimation of GARCH+Jump parameters,"Estimate omega, alpha, beta, lambda, mu_J, sigma_J via SLSQP with stationarity constraint (alpha+beta<1).",stage1_fit.py,garch.py,fit_garch_jump(),training returns,{TICKER}_{STRAT}_model.json  +  {TICKER}_{STRAT}_params.csv
S1-04,Refilter conditional variance to h_series,Recompute full h_t series using final fitted parameters over the extended price window (incl. backtest period).,stage1_fit.py,garch.py,_filter_garch_states(),price_df_full + fitted params,{TICKER}_{STRAT}_h_series.csv
S2-05,Adaptive N-calibration,Find required MC path count so eSSVI surface pricing error <= 50 bps; round up to N_block. Controls quality/speed trade-off for the full backtest.,stage2_backtest.py,simulation.py; vol_surface.py,run_stage2() / _build_ref_mc_surface(),"model.json, h_series.csv, config.py (N_BATCH, N_MAX)",internal N_block decision (affects S2-06 onwards)
S2-06,Generate random-path block,Build pre-allocated Z (normal) + Poisson jump random matrices for full backtest horizon + max tenor. Re-used every day to avoid re-drawing.,stage2_backtest.py,simulation.py,_make_rand_block(),"jump params, T_total, N_block, SEED",internal rand_block ndarray
S2-07,eSSVI vol-surface snapshot (optional),"On PRINT_VOL_SURFACE_DATE: simulate one-date MC surface, invert BS prices to IV per (T,K), fit eSSVI smile per tenor, save formatted IV surface + PNG chart to Results/Charts/.",stage2_backtest.py,vol_surface.py; pricing.py,plot_vol_surface(),"price_df_full, h_series, model params, PRINT_VOL_SURFACE_DATE",{TICKER}_{STRAT}_iv_surface.csv  +  Results/Charts/{TICKER}_{STRAT}_vol_surface_{date}.png
S2-08,Dynamic delta-hedging backtest,"Run trading loop over entry dates x tenors x q-grid. Each day: update h_t via GARCH recursion, simulate N_BACKTEST paths, price options, compute BS delta, hedge PnL. Full MC + eSSVI runs every day.",stage2_backtest.py,backtest.py; trading.py; pricing.py; simulation.py; vol_surface.py,run_backtest(),"price_df_full, h_series, garch/jump params, rand_block, strategy config",{TICKER}_{STRAT}_trades.csv  +  {TICKER}_{STRAT}_trade_daily_log.csv
S3-09,"Aggregate HE per (tenor, quantile) bucket","For each (T_days, q) node in trades.csv, compute: n, k_mean, premium_mean, HE_mean, HE_std, HE_per_S_mean, HE_per_S_std, HE_per_S_tstat, HE_per_S_pval (one-sample t-test H0: E[HE/S]=0).",stage3_stats.py,stats.py,run_stage3() / compute_he_stats(),{TICKER}_{STRAT}_trades.csv,he_agg DataFrame in memory (MultiIndex T_days x q)
S3-10,Build wide he_stats table + long he_detail,"Pivot he_agg into wide format (tenor_days | metric | q05...ATM...q95). Metrics: model_vol%, HE_per_S_mean_%, HE_per_S_std_%, HE_per_S_tstat, HE_per_S_pval. Also save long-format he_detail.csv for Stage 4 bias correction and Stage 5 cross-section. P-value < 0.05 indicates statistically significant mean HE bias.",stage3_stats.py,stats.py (internal _build_he_stats),run_stage3() / _build_he_stats() / save_checkpoint(),he_agg from S3-09  +  {TICKER}_{STRAT}_iv_surface.csv (for model_vol%),"{TICKER}_{STRAT}_he_stats.csv (wide)  +  {TICKER}_{STRAT}_he_detail.csv (long, T_days x q)"
